canonical_id,variant_id,source_file,source_alias,source_number,line_start,line_end,stem_variant,options_variant,notes
batch5_family_pair_q001,batch5_family_pair_q001_v01,6.3 okeoyeee with dr iksan and willy no -50.docx,B,21,132,138,"pernyataan yang benar terkait sindrom horner, kecuali","[""Ptosis"", ""Enophtalmus"", ""kehilangan kemampuan berkeringat disatu sisi"", ""myosis"", ""sering karna ca servix""]","[""Sindrom horrner: Ptosis, Myosis, anhidrosis""]"
batch5_family_pair_q002,batch5_family_pair_q002_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,13,18,Pernyataan tidak tepat untuk hukum material adalah?,"[""Kumpulan KUH Perdata"", ""Kumpulan KUH Pidana"", ""Kumpulan hokum kesehatan"", ""Kumpulan peraturan beracara di pengadilan"", ""Kumpulan peraturan pemerintah, peraturan menteri, peraturan daerah""]",[]
batch5_family_pair_q002,batch5_family_pair_q002_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,22,139,144,pernyataan tidak tepat untuk hukum material adalah,"[""kumpulan KUH perdata"", ""kumpulan KUH pidana"", ""kumpulan hukum kesehatan"", ""kumpulan peraturan beracara di pengadilan"", ""kumpulan peraturan pemerintah, peraturan menteri, peraturan daerah""]",[]
batch5_family_pair_q003,batch5_family_pair_q003_v01,6.3 okeoyeee with dr iksan and willy no -50.docx,B,23,145,150,penempatan elektroda ECT bilateral biasanya menghasilkan,"[""efek samping kognitif yang lebih kecil"", ""respon terapetik yang lebih lambat"", ""ambang kejang yang lebih rendah"", ""respon terapetik yang lebih cepat"", ""ambang kejang yang lebih tinggi""]",[]
batch5_family_pair_q004,batch5_family_pair_q004_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,116,121,"hal hal di bawah ini adalah benar, kecuali","[""manitol dipakai pada edema akibat cedera kepala"", ""manitol bersifat diuretik non osmotik(osmotik)"", ""dosis manitol adalah 0,25 g-1g /kg BB"", ""kontraindikasi di berikan pada gangguan hati"", ""tidak efektif diberikan pada udem vasogenik""]",[]
batch5_family_pair_q004,batch5_family_pair_q004_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,24,151,157,"hal hal di bawah ini adalah benar, kecuali, ppt trauma","[""manitol dipakai pada edema akibat cedera kepala"", ""manitol bersifat diuretik non osmotik > harsnya osmotik"", ""dosis manitol adalah 0,25 g-1g /kg BB"", ""kontraindikasi di berikan pada gangguan hati"", ""tidak efektif diberikan pada udem vasogenik""]","[""Manitol; Untuk menarik cairan""]"
batch5_family_pair_q005,batch5_family_pair_q005_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,306,311,etiologi dari seizure dapat dibedakan menjadi etiologi epileptic dan non epileptic. Etiologi yang terbanyak dari golongan epileptik adalah,"[""idiopathik"", ""cerebral damage"", ""infeksi kongenital"", ""cerebral tumor"", ""metabolic""]",[]
batch5_family_pair_q005,batch5_family_pair_q005_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,25,158,164,etiologi dari seizure dapat dibedakan menjadi etiologi epileptic dan non epileptic. Etiologi yang terbanyak dari golongan epileptik adalah,"[""idiopathik,"", ""cerebral damage"", ""infeksi kongenital"", ""cerebral tumor"", ""metabolic, ex; dm, hipotiroid, hipertiroid""]","[""Kryptogrnik;??""]"
batch5_family_pair_q006,batch5_family_pair_q006_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,531,536,kontrol terhadap perilaku atau behaviour control adanya pada,"[""dorsolateral prefrontal korteks"", ""orbitofrontal korteks"", ""prefrontal korteks"", ""precentral korteks"", ""primary motor korteks""]",[]
batch5_family_pair_q006,batch5_family_pair_q006_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,26,165,171,kontrol terhadap perilaku atau behaviour control adanya pada,"[""dorsolateral prefrontal korteks"", ""orbitofrontal korteks: knotrol afektif mood"", ""prefrontal korteks: eksekusi"", ""precentral korteks: Motorik"", ""primary motor korteks: motorik""]","[""Mediodorsolateral: Kognitif""]"
batch5_family_pair_q007,batch5_family_pair_q007_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,288,293,yang bukan merupakan alat ukur yang dapat di pakai untuk penampisan gangguan kognisi adalah,"[""MMSE"", ""CDT"", ""IADL"", ""GDS"", ""ADL""]",[]
batch5_family_pair_q007,batch5_family_pair_q007_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,27,172,177,yang bukan merupakan alat ukur yang dapat di pakai untuk penampisan gangguan kognisi adalah,"[""MMSE"", ""CDT"", ""IADL"", ""GDS"", ""ADL ( Activity Daily Living) >""]",[]
batch5_family_pair_q008,batch5_family_pair_q008_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,69,74,"seorang pasien, wanita, 45 tahun, ibu rumah tangga, mengeluh mudah lelah dan merasa tidak bahagia, aktivitas dan konsentrasi menurun serta nafsu makan berkurang. Hal tersebut sudah dirasakan selama 3 bulan. Terakhir pasien merasa pekerjaannya sedikit terbengkalai. Dokter meresepkan obat antidepresan. Setelah mengkonsumsi obat tersebut pasien mengeluh mulut kering dan susah BAB. Obat anti deprean yang menyebabkan efek samping tersebut adalah","[""Amitriptilin"", ""Fluoxetine"", ""Sertraline"", ""Paroxetine"", ""Citalopram""]",[]
batch5_family_pair_q008,batch5_family_pair_q008_v02,6.3 okeoyeee with dr iksan and willy no -50.docx,B,28,178,183,"seorang pasien, wanita, 45 tahun, ibu rumah tangga, mengeluh mudah lelah dan merasa tidak bahagia, aktivitas dan konsentrasi menurun serta nafsu makan berkurang. Hal tersebut sudah dirasakan selama 3 bulan. Terakhir pasien merasa pekerjaannya sedikit terbengkalai. Dokter meresepkan obat antidepresan. Setelah mengkonsumsi obat tersebut pasien mengeluh mulut kering dan susah BAB. Obat anti deprean yang menyebabkan efek samping tersebut adalah","[""Amitriptilin > Trisiklik Anti Depresan (TAC)"", ""Fluoxetine"", ""Sertraline"", ""Paroxetine"", ""Citalopram""]",[]
batch5_family_pair_q009,batch5_family_pair_q009_v01,388802_Tutorial Jadi Youtuber Bro.docx,A,,34,38,"Tn M. 50 tahun, seorang pengusaha sukses di jambi. Dirawat dibagian saraf rumah sakit raden mataher karena tidak bisa berjalan yang disebabkan 1 jam sebelum masuk rumah sakit, saat penderita sedang BAB tiba tiba penderita mengalami kelemahan pada lengan kiri dan tungkai kiri. Hal ini terjadi untuk yang pertama kali. Pada saat serangan penderita tampak selalu mengantuk dan susah di ajak komunikasi. Disertai sakit kepala, mual dan muntah. Tanpa disertai kejang dan gangguan rasa pada sisi yang lemah. Kelemahan lengan kiri dan tungkai kiri sama berat. Saat mengobrol bicaranya pelo dan lidah deviasi kekiri saat di julurkan, tidak ada atropi papil lidah dan vasikulasi (-). Saat mengerutkan dahi simetrik, kedua kelopak mata dapat menutup sempurna, namun saat meringis sisi mulut kiri tertinggal. Sehari-hari penderita bekerja dengan tangan kanan. Penderita masih dapat mengungkapkan isi pikirannya secara lisan, tulisan dan isyarat. Penderita juga dapat mengerti isi pikiran orang lain yang diungkapkan secara lisan, tulisan dan isyarat. Reflek dan tonus pada sisi yang lemah meningkat.Jika pada kasus diatas tidak terjadi penurunan kesadaran dan pemulihan kelemahan terjadi dalam kurun waktu <24 jam maka kasus ini disebut","[""TIA"", ""Stroke in evolution"", ""Emboli stroke"", ""Stroke hemoragik""]",[]
batch5_family_pair_q009,batch5_family_pair_q009_v02,388802_Tutorial Jadi Youtuber Bro.docx,A,,329,333,"Tn M. 50 tahun, seorang pengusaha sukses di jambi. Dirawat dibagian saraf rumah sakit raden mataher karena tidak bisa berjalan yang disebabkan 1 jam sebelum masuk rumah sakit, saat penderita sedang BAB tiba tiba penderita mengalami kelemahan pada lengan kiri dan tungkai kiri. Hal ini terjadi untuk yang pertama kali. Pada saat serangan penderita tampak selalu mengantuk dan susah di ajak komunikasi. Disertai sakit kepala, mual dan muntah. Tanpa disertai kejang dan gangguan rasa pada sisi yang lemah. Kelemahan lengan kiri dan tungkai kiri sama berat. Saat mengobrol bicaranya pelo dan lidah deviasi kekiri saat di julurkan, tidak ada atropi papil lidah dan vasikulasi (-). Saat mengerutkan dahi simetrik, kedua kelopak mata dapat menutup sempurna, namun saat meringis sisi mulut kiri tertinggal. Sehari-hari penderita bekerja dengan tangan kanan. Penderita masih dapat mengungkapkan isi pikirannya secara lisan, tulisan dan isyarat. Penderita juga dapat mengerti isi pikiran orang lain yang diungkapkan secara lisan, tulisan dan isyarat. Reflek dan tonus pada sisi yang lemah meningkat. Diagnosis topik yang mungkin pada kasus diatas adalah","[""Korteks cerebri"", ""Subkorteks cerebri"", ""Kapsula interna"", ""Batang otak""]",[]
batch5_family_pair_q009,batch5_family_pair_q009_v03,6.3 okeoyeee with dr iksan and willy no -50.docx,B,29,184,189,"Tn M. 50 tahun, seorang pengusaha sukses di jambi. Dirawat dibagian saraf rumah sakit raden mataher karena tidak bisa berjalan yang disebabkan 1 jam sebelum masuk rumah sakit, saat penderita sedang BAB tiba tiba penderita mengalami kelemahan pada lengan kiri dan tungkai kiri. Hal ini terjadi untuk yang pertama kali. Pada saat serangan penderita tampak selalu mengantuk dan susah di ajak komunikasi. Disertai sakit kepala, mual dan muntah. Tanpa disertai kejang dan gangguan rasa pada sisi yang lemah. Kelemahan lengan kiri dan tungkai kiri sama berat. Saat mengobrol bicaranya pelo dan lidah deviasi kekiri saat di julurkan, tidak ada atropi papil lidah dan vasikulasi (-). Saat mengerutkan dahi simetrik, kedua kelopak mata dapat menutup sempurna, namun saat meringis sisi mulut kiri tertinggal. Sehari-hari penderita bekerja dengan tangan kanan. Penderita masih dapat mengungkapkan isi pikirannya secara lisan, tulisan dan isyarat. Penderita juga dapat mengerti isi pikiran orang lain yang diungkapkan secara lisan, tulisan dan isyarat. Reflek dan tonus pada sisi yang lemah meningkat Diagnosis topik yang mungkin pada kasus diatas adalah","[""Korteks cerebri"", ""Subkorteks cerebri"", ""Kapsula interna"", ""Batang otak, lebih ke pons""]",[]
