canonical_id,number,stem,option_count,answer_index,answer_text,confidence,source_files,line_refs
batch5_family_pair_q001,1,"pernyataan yang benar terkait sindrom horner, kecuali",5,4,sering karna ca servix,high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:132-138
batch5_family_pair_q002,2,pernyataan tidak tepat untuk hukum material adalah,5,3,kumpulan peraturan beracara di pengadilan,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:13-18; B:139-144
batch5_family_pair_q003,3,penempatan elektroda ECT bilateral biasanya menghasilkan,5,3,respon terapetik yang lebih cepat,high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:145-150
batch5_family_pair_q004,4,"hal hal di bawah ini adalah benar, kecuali, ppt trauma",5,1,manitol bersifat diuretik non osmotik,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:116-121; B:151-157
batch5_family_pair_q005,5,etiologi dari seizure dapat dibedakan menjadi etiologi epileptic dan non epileptic. Etiologi yang terbanyak dari golongan epileptik adalah,5,0,Idiopatik,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:306-311; B:158-164
batch5_family_pair_q006,6,kontrol terhadap perilaku atau behaviour control adanya pada,5,1,orbitofrontal cortex,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:531-536; B:165-171
batch5_family_pair_q007,7,yang bukan merupakan alat ukur yang dapat di pakai untuk penampisan gangguan kognisi adalah,5,3,GDS,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:288-293; B:172-177
batch5_family_pair_q008,8,"seorang pasien, wanita, 45 tahun, ibu rumah tangga, mengeluh mudah lelah dan merasa tidak bahagia, aktivitas dan konsentrasi menurun serta nafsu makan berkurang. Hal tersebut sudah dirasakan selama 3 bulan. Terakhir pasien merasa pekerjaannya sedikit terbengkalai. Dokter meresepkan obat antidepresan. Setelah mengkonsumsi obat tersebut pasien mengeluh mulut kering dan susah BAB. Obat anti deprean yang menyebabkan efek samping tersebut adalah",5,0,Amitriptilin,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:69-74; B:178-183
batch5_family_pair_q009,9,"Tn M. 50 tahun, seorang pengusaha sukses di jambi. Dirawat dibagian saraf rumah sakit raden mataher karena tidak bisa berjalan yang disebabkan 1 jam sebelum masuk rumah sakit, saat penderita sedang BAB tiba tiba penderita mengalami kelemahan pada lengan kiri dan tungkai kiri. Hal ini terjadi untuk yang pertama kali. Pada saat serangan penderita tampak selalu mengantuk dan susah di ajak komunikasi. Disertai sakit kepala, mual dan muntah. Tanpa disertai kejang dan gangguan rasa pada sisi yang lemah. Kelemahan lengan kiri dan tungkai kiri sama berat. Saat mengobrol bicaranya pelo dan lidah deviasi kekiri saat di julurkan, tidak ada atropi papil lidah dan vasikulasi (-). Saat mengerutkan dahi simetrik, kedua kelopak mata dapat menutup sempurna, namun saat meringis sisi mulut kiri tertinggal. Sehari-hari penderita bekerja dengan tangan kanan. Penderita masih dapat mengungkapkan isi pikirannya secara lisan, tulisan dan isyarat. Penderita juga dapat mengerti isi pikiran orang lain yang diungkapkan secara lisan, tulisan dan isyarat. Reflek dan tonus pada sisi yang lemah meningkat Diagnosis topik yang mungkin pada kasus diatas adalah",4,,,low,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:34-38; A:329-333; B:184-189
batch5_family_pair_q011,10,"identitas jenis kelamin atau preferensi seksual tidak diragukan, tetapi individu mengharapkan yang lain disebakan oleh gangguan psikologis dan perilaku, serta mencari pengobatan untuk mengubahnya, di sebut..",5,1,Orientasi seksual egodistonik,high,6.3 okeoyeee with dr iksan and willy no -50.docx,B:196-201
batch5_family_pair_q012,11,pemberian terapi medika mentosa mulai dipertimbangkan pada ulkus dekubitus,5,2,Ulkus dekubitus grade 3,low,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:489-494; B:202-207
batch5_family_pair_q013,12,"seorang pasien mengeluh sering merasa cemas yang berlangsung hampir setiap hari sehingga sering merasa berdebar debar, berkeringat, dan pusing. Gejala yang dirasakan termasuk gejala berat dan disertai serangan panik. Farmakoterapi yang tepat untuk pasien tersebut adalah",5,1,Alprazolam,medium,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:241-246; A:549-554; B:208-214
batch5_family_pair_q014,13,"mekanisme obat anti kejang belum diketahui secara pasti. Dibawah ini merupakan mekanisme kerja suatu obat memiliki efek anti kejang, kecuali",5,2,Meningkatkan transmisi glutamatergik,high,388802_Tutorial Jadi Youtuber Bro.docx; 6.3 okeoyeee with dr iksan and willy no -50.docx,A:81-85; B:215-220
