number,question_id,source_file,page_label,source_lines,answer_evidence,reconstruction_notes
1,mcq_6e_2025_original_exam_set_q01,MCQ 6.E 2025.pdf,Page 1,2 3 4 5 6,Jawaban A disorot pada PDF halaman 1.,"Stem OCR menulis 'indikasi mutlak LCS', tetapi slide sumber dan jawaban tersorot menunjukkan konteks kontraindikasi mutlak LP/LCS."
2,mcq_6e_2025_original_exam_set_q02,MCQ 6.E 2025.pdf,Page 1,7 8 9 10 11 12,Jawaban B disorot pada PDF halaman 1.,
3,mcq_6e_2025_original_exam_set_q03,MCQ 6.E 2025.pdf,Page 1,13 50 51,Catatan visual halaman 1 menulis “JAWAB: ENSEPHALITIS HSV”.,Pilihan jawaban asli tidak tersedia dalam OCR/transkrip. Jawaban diambil dari catatan visual “jawab: ensephalitis HSV”.
4,mcq_6e_2025_original_exam_set_q04,MCQ 6.E 2025.pdf,Page 1,14 15 16 17 18 19,Jawaban B disorot pada PDF halaman 1.,"OCR menulis “mtro”, “cetriafson”, “cefriakson”; dinormalisasi menjadi metronidazole, ceftazidime, ceftriaxone."
5,mcq_6e_2025_original_exam_set_q05,MCQ 6.E 2025.pdf,Page 1,20 21 22 23,Jawaban A disorot pada PDF halaman 1.,
6,mcq_6e_2025_original_exam_set_q06,MCQ 6.E 2025.pdf,Page 1,24 25,Jawaban A disorot pada PDF halaman 1.,Hanya satu opsi terbaca; opsi lain tidak tersedia di sumber.
7,mcq_6e_2025_original_exam_set_q07,MCQ 6.E 2025.pdf,Page 1,26,Tidak ada highlight jawaban yang dapat dipetakan.,Stem terlalu terfragmentasi; tidak dibuat sebagai quiz aktif.
8,mcq_6e_2025_original_exam_set_q08,MCQ 6.E 2025.pdf,Page 1,27 28 29,Jawaban B disorot pada PDF halaman 1.,
9,mcq_6e_2025_original_exam_set_q09,MCQ 6.E 2025.pdf,Page 1,30 31 32 33,Jawaban A disorot pada PDF halaman 1.,OCR menulis “N. mengitis”; dinormalisasi menjadi Neisseria meningitidis.
10,mcq_6e_2025_original_exam_set_q10,MCQ 6.E 2025.pdf,Page 1,34 35 36,Jawaban A disorot pada PDF halaman 1.,OCR menulis “tetanospasmi”; dinormalisasi menjadi tetanospasmin.
11,mcq_6e_2025_original_exam_set_q11,MCQ 6.E 2025.pdf,Page 1,37 38 39,Jawaban A disorot pada PDF halaman 1.,
