item_id,number,line_start,line_end,confidence,reconstruction_status,stem
batch4_2022_q01,1,2,5,medium,reconstructed_mcq,Golongan narkotika golongan II adalah...
batch4_2022_q02,2,6,10,high,reconstructed_mcq,Golongan obat yang dapat menyebabkan cheese reaction adalah...
batch4_2022_q03,3,11,16,medium,reconstructed_mcq,"Seorang pasien mengalami gejala depresi selama sekitar satu bulan, kemudian menjadi manik setelah mendapat proyek besar. Diagnosis kerja yang paling sesuai adalah..."
batch4_2022_q04,4,17,21,high,reconstructed_mcq,Sirkumstansialitas merupakan gangguan psikiatri yang termasuk aspek...
batch4_2022_q05,5,22,22,high,reconstructed_mcq,Contoh obat antidepresan golongan trisiklik/TCA adalah...
batch4_2022_q06,6,23,30,medium,reconstructed_mcq,Yang merupakan gejala manik adalah...
batch4_2022_q07,7,31,33,medium,reconstructed_mcq,SSRI yang sering digunakan untuk mengatasi fobia sosial termasuk...
batch4_2022_q08,8,34,39,medium,reconstructed_mcq,Yang merupakan bagian dari aparatus vestibularis adalah...
batch4_2022_q09,9,40,44,high,reconstructed_mcq,Karakteristik tension-type headache adalah...
batch4_2022_q10,10,45,50,high,reconstructed_mcq,Jaras yang berperan dalam mekanisme halusinasi dan waham/gejala positif pada skizofrenia adalah...
batch4_2022_q11,11,51,53,medium,reconstructed_mcq,Efek ekstrapiramidal yang dapat muncul pada penggunaan antipsikotik tipikal adalah...
batch4_2022_q12,12,54,61,medium,reconstructed_mcq,Karakteristik skizofrenia katataunik meliputi...
batch4_2022_q13,13,62,63,high,answer_hint_only,Obat untuk absence seizure adalah...
batch4_2022_q14,14,64,69,medium,reconstructed_mcq,Yang merupakan obat untuk skizofrenia adalah...
batch4_2022_q15,15,70,75,high,reconstructed_mcq,Pasien merasa dirinya sangat penting dan berpura-pura empati kepada orang lain untuk mencapai keinginannya. Gangguan kepribadian yang paling sesuai adalah...
batch4_2022_q16,16,76,80,medium,reconstructed_mcq,Nyeri pinggang yang merambat ke betis paling sesuai melibatkan nervus...
batch4_2022_q17,17,81,85,medium,reconstructed_mcq,"Ny. Nina mengeluh kebas kedua tangan terutama malam hari, bekerja menjual gado-gado dan sering menggiling bumbu. Edukasi yang paling tepat adalah..."
batch4_2022_q18,18,86,90,high,reconstructed_mcq,"Pada kasus Ny. Nina dengan kebas kedua tangan terutama malam hari, pemeriksaan fisik spesifik yang harus dilakukan adalah..."
batch4_2022_q19,19,91,95,medium,reconstructed_mcq,"Tn. Z, sopir bus dengan riwayat hipertensi, mengalami keluhan menyerupai TIA yang kemudian hilang. Edukasi yang tepat adalah..."
batch4_2022_q20,20,96,101,high,reconstructed_mcq,"Tumor otak berikut berasal dari intra-aksial, kecuali..."
batch4_2022_q21,21,102,106,medium,reconstructed_mcq,"Golongan obat untuk vertigo, kecuali..."
batch4_2022_q22,22,107,112,high,reconstructed_mcq,Seseorang sedang berdiri dan menjaga keseimbangan dengan melebarkan kedua tangannya. Sistem yang terutama bekerja adalah...
batch4_2022_q23,23,113,119,medium,reconstructed_mcq,Kriteria diagnostik illness anxiety disorder menurut DSM-5 meliputi...
batch4_2022_q24,24,120,120,high,answer_hint_only,Diagnosis banding demensia Alzheimer adalah...
batch4_2022_q25,25,121,121,high,answer_hint_only,Teknik wawancara yang benar adalah...
batch4_2022_q26,26,122,125,medium,reconstructed_mcq,Terapi untuk gangguan afektif bipolar episode depresi berat adalah...
batch4_2022_q27,27,126,126,high,answer_hint_only,"Tn. X sangat mencemaskan kehidupannya selama 6 bulan, mulai dari biaya sekolah anak hingga masalah ekonomi dunia. Diagnosis yang paling sesuai adalah..."
batch4_2022_q28,28,127,127,high,reconstructed_mcq,Durasi minimal gejala untuk diagnosis depresi adalah...
batch4_2022_q29,29,128,128,high,answer_hint_only,Tn. X usia 20 tahun menuduh dosennya mencuri uang kuliah dan menganggap kampusnya sebagai kedok organisasi kejahatan. Diagnosis yang paling sesuai adalah...
batch4_2022_q30,30,129,129,medium,answer_hint_only,Pencitraan paling efektif untuk gangguan tulang belakang adalah...
batch4_2022_q31,31,130,130,high,answer_hint_only,Struktur forebrain/otak depan meliputi...
batch4_2022_q32,32,131,131,high,answer_hint_only,Ciri cairan serebrospinal/LP pada meningitis bakteri adalah...
batch4_2022_q33,33,132,137,high,reconstructed_mcq,"Gerakan tubuh melambat, tremor, dan gangguan keseimbangan pada Parkinson disease menurut Hoehn and Yahr paling sesuai dengan stadium..."
batch4_2022_q34,34,138,138,high,answer_hint_only,Parkinsonisme pasca-stroke paling sesuai disebut...
batch4_2022_q35,35,139,139,high,answer_hint_only,Gold standard pemeriksaan untuk kejang/epilepsi adalah...
batch4_2022_q36,36,140,145,low,reconstructed_mcq,"Pada pemeriksaan keseimbangan, bila pasien jatuh hanya saat mata terpejam maka organ yang terganggu adalah vestibular perifer; bila jatuh saat mata terbuka dan terpejam maka mengarah ke vestibular sentral. Pilihan yang sesuai adalah..."
batch4_2022_q37,37,146,146,high,answer_hint_only,Jaras yang menghantarkan nyeri dan suhu adalah...
