model_id,domain,title,src,poster,platform_status,linked_content_ids,qc_status,notes
model_batch_1_6e_01_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_01_01.glb,assets/posters/neurology/model_batch_1_6e_01_01.webp,placeholder_target,batch_1_6e_01,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_01_02,neurology,3D vestibular pathway placeholder,assets/models/neurology/model_batch_1_6e_01_02.glb,assets/posters/neurology/model_batch_1_6e_01_02.webp,placeholder_target,batch_1_6e_01,needs_asset_creation,"Inner ear, vestibular nerve, brainstem nuclei, cerebellum hotspots"
model_batch_1_6e_02_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_02_01.glb,assets/posters/neurology/model_batch_1_6e_02_01.webp,placeholder_target,batch_1_6e_02,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_02_02,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_02_02.glb,assets/posters/neurology/model_batch_1_6e_02_02.webp,placeholder_target,batch_1_6e_02,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
model_batch_1_6e_03_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_03_01.glb,assets/posters/neurology/model_batch_1_6e_03_01.webp,placeholder_target,batch_1_6e_03,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_03_02,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_03_02.glb,assets/posters/neurology/model_batch_1_6e_03_02.webp,placeholder_target,batch_1_6e_03,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
model_batch_1_6e_04_01,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_04_01.glb,assets/posters/neurology/model_batch_1_6e_04_01.webp,placeholder_target,batch_1_6e_04,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
model_batch_1_6e_05_01,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_05_01.glb,assets/posters/neurology/model_batch_1_6e_05_01.webp,placeholder_target,batch_1_6e_05,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
model_batch_1_6e_07_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_07_01.glb,assets/posters/neurology/model_batch_1_6e_07_01.webp,placeholder_target,batch_1_6e_07,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_07_02,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_07_02.glb,assets/posters/neurology/model_batch_1_6e_07_02.webp,placeholder_target,batch_1_6e_07,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
model_batch_1_6e_08_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_08_01.glb,assets/posters/neurology/model_batch_1_6e_08_01.webp,placeholder_target,batch_1_6e_08,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_08_02,neurology,3D peripheral nerve / spinal root placeholder,assets/models/neurology/model_batch_1_6e_08_02.glb,assets/posters/neurology/model_batch_1_6e_08_02.webp,placeholder_target,batch_1_6e_08,needs_asset_creation,"Spinal cord, nerve roots, plexus, peripheral nerve hotspots"
model_batch_1_6e_09_01,neurology,3D peripheral nerve / spinal root placeholder,assets/models/neurology/model_batch_1_6e_09_01.glb,assets/posters/neurology/model_batch_1_6e_09_01.webp,placeholder_target,batch_1_6e_09,needs_asset_creation,"Spinal cord, nerve roots, plexus, peripheral nerve hotspots"
model_batch_1_6e_10_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_10_01.glb,assets/posters/neurology/model_batch_1_6e_10_01.webp,placeholder_target,batch_1_6e_10,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_10_02,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_10_02.glb,assets/posters/neurology/model_batch_1_6e_10_02.webp,placeholder_target,batch_1_6e_10,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
model_batch_1_6e_11_01,neurology,3D peripheral nerve / spinal root placeholder,assets/models/neurology/model_batch_1_6e_11_01.glb,assets/posters/neurology/model_batch_1_6e_11_01.webp,placeholder_target,batch_1_6e_11,needs_asset_creation,"Spinal cord, nerve roots, plexus, peripheral nerve hotspots"
model_batch_1_6e_12_01,neurology,3D vestibular pathway placeholder,assets/models/neurology/model_batch_1_6e_12_01.glb,assets/posters/neurology/model_batch_1_6e_12_01.webp,placeholder_target,batch_1_6e_12,needs_asset_creation,"Inner ear, vestibular nerve, brainstem nuclei, cerebellum hotspots"
model_batch_1_6e_12_02,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_12_02.glb,assets/posters/neurology/model_batch_1_6e_12_02.webp,placeholder_target,batch_1_6e_12,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
model_batch_1_6e_13_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_13_01.glb,assets/posters/neurology/model_batch_1_6e_13_01.webp,placeholder_target,batch_1_6e_13,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_13_02,neurology,3D vestibular pathway placeholder,assets/models/neurology/model_batch_1_6e_13_02.glb,assets/posters/neurology/model_batch_1_6e_13_02.webp,placeholder_target,batch_1_6e_13,needs_asset_creation,"Inner ear, vestibular nerve, brainstem nuclei, cerebellum hotspots"
model_batch_1_6e_14_01,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_14_01.glb,assets/posters/neurology/model_batch_1_6e_14_01.webp,placeholder_target,batch_1_6e_14,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
model_batch_1_6e_14_02,neurology,3D peripheral nerve / spinal root placeholder,assets/models/neurology/model_batch_1_6e_14_02.glb,assets/posters/neurology/model_batch_1_6e_14_02.webp,placeholder_target,batch_1_6e_14,needs_asset_creation,"Spinal cord, nerve roots, plexus, peripheral nerve hotspots"
model_batch_1_6e_15_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_15_01.glb,assets/posters/neurology/model_batch_1_6e_15_01.webp,placeholder_target,batch_1_6e_15,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_15_02,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_15_02.glb,assets/posters/neurology/model_batch_1_6e_15_02.webp,placeholder_target,batch_1_6e_15,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
model_batch_1_6e_17_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_17_01.glb,assets/posters/neurology/model_batch_1_6e_17_01.webp,placeholder_target,batch_1_6e_17,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_17_02,neurology,3D intracranial mass location placeholder,assets/models/neurology/model_batch_1_6e_17_02.glb,assets/posters/neurology/model_batch_1_6e_17_02.webp,placeholder_target,batch_1_6e_17,needs_asset_creation,"Supratentorial, infratentorial, extra-axial, intra-axial hotspots"
model_batch_1_6e_19_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_19_01.glb,assets/posters/neurology/model_batch_1_6e_19_01.webp,placeholder_target,batch_1_6e_19,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_19_02,neurology,3D peripheral nerve / spinal root placeholder,assets/models/neurology/model_batch_1_6e_19_02.glb,assets/posters/neurology/model_batch_1_6e_19_02.webp,placeholder_target,batch_1_6e_19,needs_asset_creation,"Spinal cord, nerve roots, plexus, peripheral nerve hotspots"
model_batch_1_6e_20_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_20_01.glb,assets/posters/neurology/model_batch_1_6e_20_01.webp,placeholder_target,batch_1_6e_20,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_21_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_21_01.glb,assets/posters/neurology/model_batch_1_6e_21_01.webp,placeholder_target,batch_1_6e_21,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_21_02,neurology,3D intracranial mass location placeholder,assets/models/neurology/model_batch_1_6e_21_02.glb,assets/posters/neurology/model_batch_1_6e_21_02.webp,placeholder_target,batch_1_6e_21,needs_asset_creation,"Supratentorial, infratentorial, extra-axial, intra-axial hotspots"
model_batch_1_6e_22_01,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_22_01.glb,assets/posters/neurology/model_batch_1_6e_22_01.webp,placeholder_target,batch_1_6e_22,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
model_batch_1_6e_23_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_23_01.glb,assets/posters/neurology/model_batch_1_6e_23_01.webp,placeholder_target,batch_1_6e_23,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_23_02,neurology,3D vestibular pathway placeholder,assets/models/neurology/model_batch_1_6e_23_02.glb,assets/posters/neurology/model_batch_1_6e_23_02.webp,placeholder_target,batch_1_6e_23,needs_asset_creation,"Inner ear, vestibular nerve, brainstem nuclei, cerebellum hotspots"
model_batch_1_6e_24_01,neurology,3D CNS anatomy explorer,assets/models/neurology/model_batch_1_6e_24_01.glb,assets/posters/neurology/model_batch_1_6e_24_01.webp,placeholder_target,batch_1_6e_24,needs_asset_creation,"Brain, brainstem, cerebellum, basal ganglia, thalamus hotspots"
model_batch_1_6e_24_02,neurology,3D cerebral vascular territory placeholder,assets/models/neurology/model_batch_1_6e_24_02.glb,assets/posters/neurology/model_batch_1_6e_24_02.webp,placeholder_target,batch_1_6e_24,needs_asset_creation,"MCA, ACA, PCA, basal ganglia, thalamus vascular hotspots"
